date,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean,obs
2016_6,910.27,613.33,964.6300000000001,568.41,710.6200000000001,1104.2900000000002,999.04,929.45,544.9699999999999,971.4100000000001,1121.28,1127.2,1029.4,1147.0500000000004,1127.81,717.76,817.2500000000001,849.4599999999998,902.99,648.14
2016_7,793.16,568.5000000000001,923.96,438.18,580.4300000000002,968.4800000000002,983.44,800.7900000000001,433.27,951.6700000000001,992.7499999999999,811.9100000000002,911.2300000000001,1076.0700000000002,1034.8,639.88,741.8900000000002,816.8099999999998,803.74,686.0899999999999
2016_8,511.34999999999997,459.57000000000005,657.37,231.9,332.84999999999997,679.4200000000002,823.0699999999999,611.4300000000001,238.60000000000002,747.43,721.05,440.25000000000006,597.52,246.55000000000007,765.7499999999998,321.68,325.51000000000005,704.52,523.11,285.75
2016_9,150.42999999999998,238.30000000000004,66.75,117.32000000000002,186.38,219.46,483.63000000000005,320.67,179.12000000000003,182.6,430.13,201.8,361.64000000000004,160.31,386.1899999999999,126.54000000000002,176.85,437.17999999999995,245.85000000000002,233.35999999999999
2016_10,84.34,214.02,52.24,109.39,101.67,107.65,140.85999999999999,52.510000000000005,149.90000000000003,157.07999999999998,123.30999999999999,61.89000000000001,99.67999999999998,148.85,66.08,87.16,131.95000000000002,99.21000000000001,110.43,168.65
2016_11,89.81,66.33,31.27,50.03999999999999,105.74,63.52000000000001,21.909999999999993,40.72,106.77000000000001,103.78000000000003,147.23,90.97,61.59,124.78999999999999,65.84,71.53,115.70000000000002,133.45999999999998,82.83,107.29
2016_12,80.45,74.47,44.49,70.00999999999999,62.56999999999999,57.58000000000001,42.56999999999999,36.55,121.55000000000001,111.99000000000001,125.18,90.85000000000001,98.22000000000001,77.03,165.11,118.14,122.36000000000001,203.54999999999998,94.59,116.06
2017_1,122.82,93.00999999999999,81.63,114.03999999999999,72.69999999999999,137.21000000000004,139.44,75.15,125.86000000000001,217.51000000000002,293.0,147.83999999999997,157.89000000000001,166.35000000000002,173.04,130.29,142.76999999999998,253.36,146.89,127.50000000000001
2017_2,230.26000000000002,172.36,119.11000000000001,136.85000000000002,274.63,196.71000000000004,251.72999999999996,128.89,107.19000000000001,270.6600000000001,402.76,240.89999999999998,205.83,249.81,287.28,163.68,228.29000000000002,317.05,221.33999999999997,137.09000000000003
2017_3,341.90000000000003,364.88,180.75,326.43,400.75,376.65,386.28000000000003,269.34000000000003,262.02,343.7000000000001,507.37,527.11,362.09000000000003,344.84999999999997,380.53000000000003,257.19,319.9,315.45000000000005,348.19,190.47000000000003
2017_4,633.0699999999999,465.6700000000001,434.12,512.74,691.5,671.6500000000001,525.99,462.87,441.90999999999997,539.7300000000001,801.1200000000001,898.8900000000001,639.17,1222.13,550.31,528.78,729.62,357.65,617.06,608.03
2017_5,951.62,668.4000000000001,987.6,583.29,827.8400000000001,1051.9800000000002,768.56,715.03,497.08000000000004,999.0400000000001,924.22,1080.3500000000001,815.3799999999999,1219.0500000000002,921.9399999999999,711.77,857.8700000000001,575.1799999999998,842.02,795.86
2017_6,910.27,613.33,964.6300000000001,568.41,710.6200000000001,1104.2900000000002,999.04,929.45,544.9699999999999,971.4100000000001,1121.28,1127.2,1029.4,1147.0500000000004,1127.81,717.76,817.2500000000001,849.4599999999998,902.99,814.58
2017_7,793.16,568.5000000000001,923.96,438.18,580.4300000000002,968.4800000000002,983.44,800.7900000000001,433.27,951.6700000000001,992.7499999999999,811.9100000000002,911.2300000000001,1076.0700000000002,1034.8,639.88,741.8900000000002,816.8099999999998,803.74,769.5899999999999
2017_8,511.34999999999997,459.57000000000005,657.37,231.9,332.84999999999997,679.4200000000002,823.0699999999999,611.4300000000001,238.60000000000002,747.43,721.05,440.25000000000006,597.52,246.55000000000007,765.7499999999998,321.68,325.51000000000005,704.52,523.11,356.46
2017_9,150.42999999999998,238.30000000000004,66.75,117.32000000000002,186.38,219.46,483.63000000000005,320.67,179.12000000000003,182.6,430.13,201.8,361.64000000000004,160.31,386.1899999999999,126.54000000000002,176.85,437.17999999999995,245.85000000000002,119.13
2017_10,84.34,214.02,52.24,109.39,101.67,107.65,140.85999999999999,52.510000000000005,149.90000000000003,157.07999999999998,123.30999999999999,61.89000000000001,99.67999999999998,148.85,66.08,87.16,131.95000000000002,99.21000000000001,110.43,87.49
2017_11,89.81,66.33,31.27,50.03999999999999,105.74,63.52000000000001,21.909999999999993,40.72,106.77000000000001,103.78000000000003,147.23,90.97,61.59,124.78999999999999,65.84,71.53,115.70000000000002,133.45999999999998,82.83,82.89
2017_12,80.45,74.47,44.49,70.00999999999999,62.56999999999999,57.58000000000001,42.56999999999999,36.55,121.55000000000001,111.99000000000001,125.18,90.85000000000001,98.22000000000001,77.03,165.11,118.14,122.36000000000001,203.54999999999998,94.59,127.77
2018_1,122.82,93.00999999999999,81.63,114.03999999999999,72.69999999999999,137.21000000000004,139.44,75.15,125.86000000000001,217.51000000000002,293.0,147.83999999999997,157.89000000000001,166.35000000000002,173.04,130.29,142.76999999999998,253.36,146.89,244.23000000000002
2018_2,230.26000000000002,172.36,119.11000000000001,136.85000000000002,274.63,196.71000000000004,251.72999999999996,128.89,107.19000000000001,270.6600000000001,402.76,240.89999999999998,205.83,249.81,287.28,163.68,228.29000000000002,317.05,221.33999999999997,418.4200000000001
2018_3,341.90000000000003,364.88,180.75,326.43,400.75,376.65,386.28000000000003,269.34000000000003,262.02,343.7000000000001,507.37,527.11,362.09000000000003,344.84999999999997,380.53000000000003,257.19,319.9,315.45000000000005,348.19,485.49
2018_4,633.0699999999999,465.6700000000001,434.12,512.74,691.5,671.6500000000001,525.99,462.87,441.90999999999997,539.7300000000001,801.1200000000001,898.8900000000001,639.17,1222.13,550.31,528.78,729.62,357.65,617.06,623.34
2018_5,951.62,668.4000000000001,987.6,583.29,827.8400000000001,1051.9800000000002,768.56,715.03,497.08000000000004,999.0400000000001,924.22,1080.3500000000001,815.3799999999999,1219.0500000000002,921.9399999999999,711.77,857.8700000000001,575.1799999999998,842.02,816.21
2018_6,910.27,613.33,964.6300000000001,568.41,710.6200000000001,1104.2900000000002,999.04,929.45,544.9699999999999,971.4100000000001,1121.28,1127.2,1029.4,1147.0500000000004,1127.81,717.76,817.2500000000001,849.4599999999998,902.99,807.38
2018_7,793.16,568.5000000000001,923.96,438.18,580.4300000000002,968.4800000000002,983.44,800.7900000000001,433.27,951.6700000000001,992.7499999999999,811.9100000000002,911.2300000000001,1076.0700000000002,1034.8,639.88,741.8900000000002,816.8099999999998,803.74,832.5300000000001
2018_8,511.34999999999997,459.57000000000005,657.37,231.9,332.84999999999997,679.4200000000002,823.0699999999999,611.4300000000001,238.60000000000002,747.43,721.05,440.25000000000006,597.52,246.55000000000007,765.7499999999998,321.68,325.51000000000005,704.52,523.11,679.0400000000002
2018_9,150.42999999999998,238.30000000000004,66.75,117.32000000000002,186.38,219.46,483.63000000000005,320.67,179.12000000000003,182.6,430.13,201.8,361.64000000000004,160.31,386.1899999999999,126.54000000000002,176.85,437.17999999999995,245.85000000000002,383.25000000000006
2018_10,84.34,214.02,52.24,109.39,101.67,107.65,140.85999999999999,52.510000000000005,149.90000000000003,157.07999999999998,123.30999999999999,61.89000000000001,99.67999999999998,148.85,66.08,87.16,131.95000000000002,99.21000000000001,110.43,208.82000000000005
2018_11,89.81,66.33,31.27,50.03999999999999,105.74,63.52000000000001,21.909999999999993,40.72,106.77000000000001,103.78000000000003,147.23,90.97,61.59,124.78999999999999,65.84,71.53,115.70000000000002,133.45999999999998,82.83,128.39000000000001
2018_12,80.45,74.47,44.49,70.00999999999999,62.56999999999999,57.58000000000001,42.56999999999999,36.55,121.55000000000001,111.99000000000001,125.18,90.85000000000001,98.22000000000001,77.03,165.11,118.14,122.36000000000001,203.54999999999998,94.59,118.80000000000001
2019_1,122.82,93.00999999999999,81.63,114.03999999999999,72.69999999999999,137.21000000000004,139.44,75.15,125.86000000000001,217.51000000000002,293.0,147.83999999999997,157.89000000000001,166.35000000000002,173.04,130.29,142.76999999999998,253.36,146.89,147.46
2019_2,230.26000000000002,172.36,119.11000000000001,136.85000000000002,274.63,196.71000000000004,251.72999999999996,128.89,107.19000000000001,270.6600000000001,402.76,240.89999999999998,205.83,249.81,287.28,163.68,228.29000000000002,317.05,221.33999999999997,169.28
2019_3,341.90000000000003,364.88,180.75,326.43,400.75,376.65,386.28000000000003,269.34000000000003,262.02,343.7000000000001,507.37,527.11,362.09000000000003,344.84999999999997,380.53000000000003,257.19,319.9,315.45000000000005,348.19,220.24
2019_4,633.0699999999999,465.6700000000001,434.12,512.74,691.5,671.6500000000001,525.99,462.87,441.90999999999997,539.7300000000001,801.1200000000001,898.8900000000001,639.17,1222.13,550.31,528.78,729.62,357.65,617.06,350.89
2019_5,951.62,668.4000000000001,987.6,583.29,827.8400000000001,1051.9800000000002,768.56,715.03,497.08000000000004,999.0400000000001,924.22,1080.3500000000001,815.3799999999999,1219.0500000000002,921.9399999999999,711.77,857.8700000000001,575.1799999999998,842.02,417.23999999999995
2019_6,910.27,613.33,964.6300000000001,568.41,710.6200000000001,1104.2900000000002,999.04,929.45,544.9699999999999,971.4100000000001,1121.28,1127.2,1029.4,1147.0500000000004,1127.81,717.76,817.2500000000001,849.4599999999998,902.99,573.35
2019_7,793.16,568.5000000000001,923.96,438.18,580.4300000000002,968.4800000000002,983.44,800.7900000000001,433.27,951.6700000000001,992.7499999999999,811.9100000000002,911.2300000000001,1076.0700000000002,1034.8,639.88,741.8900000000002,816.8099999999998,803.74,570.34
2019_8,511.34999999999997,459.57000000000005,657.37,231.9,332.84999999999997,679.4200000000002,823.0699999999999,611.4300000000001,238.60000000000002,747.43,721.05,440.25000000000006,597.52,246.55000000000007,765.7499999999998,321.68,325.51000000000005,704.52,523.11,461.68000000000006
2019_9,150.42999999999998,238.30000000000004,66.75,117.32000000000002,186.38,219.46,483.63000000000005,320.67,179.12000000000003,182.6,430.13,201.8,361.64000000000004,160.31,386.1899999999999,126.54000000000002,176.85,437.17999999999995,245.85000000000002,348.89
2019_10,84.34,214.02,52.24,109.39,101.67,107.65,140.85999999999999,52.510000000000005,149.90000000000003,157.07999999999998,123.30999999999999,61.89000000000001,99.67999999999998,148.85,66.08,87.16,131.95000000000002,99.21000000000001,110.43,243.01000000000005
2019_11,89.81,66.33,31.27,50.03999999999999,105.74,63.52000000000001,21.909999999999993,40.72,106.77000000000001,103.78000000000003,147.23,90.97,61.59,124.78999999999999,65.84,71.53,115.70000000000002,133.45999999999998,82.83,212.26
2019_12,80.45,74.47,44.49,70.00999999999999,62.56999999999999,57.58000000000001,42.56999999999999,36.55,121.55000000000001,111.99000000000001,125.18,90.85000000000001,98.22000000000001,77.03,165.11,118.14,122.36000000000001,203.54999999999998,94.59,166.96000000000004
2020_1,122.82,93.00999999999999,81.63,114.03999999999999,72.69999999999999,137.21000000000004,139.44,75.15,125.86000000000001,217.51000000000002,293.0,147.83999999999997,157.89000000000001,166.35000000000002,173.04,130.29,142.76999999999998,253.36,146.89,182.41000000000003
2020_2,230.26000000000002,172.36,119.11000000000001,136.85000000000002,274.63,196.71000000000004,251.72999999999996,128.89,107.19000000000001,270.6600000000001,402.76,240.89999999999998,205.83,249.81,287.28,163.68,228.29000000000002,317.05,221.33999999999997,219.49000000000004
